"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
1.076433333E0,1.786968191E-2,2.468225593E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.080595874E0,1.803553407E-2,2.473144521E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.084758499E0,1.794987193E-2,2.468178221E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.088921124E0,1.780738396E-2,2.463915334E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.093083624E0,1.783390432E-2,2.470820286E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.097246249E0,1.784169074E-2,2.469577885E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.101408833E0,1.779317872E-2,2.470254306E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.105571458E0,1.799207160E-2,2.476427479E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.109733999E0,1.795239752E-2,2.474490754E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.113896583E0,1.787578788E-2,2.477473233E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.118059166E0,1.773350955E-2,2.468000027E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.122221749E0,1.767952542E-2,2.461632136E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.126384333E0,1.785253015E-2,2.477947224E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.130546916E0,1.785610726E-2,2.475414499E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.134709541E0,1.786558069E-2,2.470945325E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.138872124E0,1.783064168E-2,2.473050329E1,1.502300000E-5,1.600000024E0,5.000000000E1
